Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDW58,1850.0,OUT049
FDW14,1572.0,OUT017
NCN55,1883.0,OUT010
FDQ58,2602.0,OUT017
FDY38,5187.0,OUT027
FDH56,1902.0,OUT046
FDL48,607.0,OUT018
FDC48,2785.0,OUT027
FDN33,1505.0,OUT045
FDA36,3070.0,OUT017
FDT44,1994.0,OUT017
FDQ56,1301.0,OUT045
NCC54,1840.0,OUT019
FDU11,2038.0,OUT049
DRL59,888.0,OUT013
FDM24,2550.0,OUT049
FDI57,3089.0,OUT045
DRC12,2777.0,OUT018
NCM42,3197.0,OUT027
FDA46,1129.0,OUT010
FDA31,2793.0,OUT013
NCJ31,3879.0,OUT035
FDG52,794.0,OUT046
NCL19,364.0,OUT019
FDS10,3027.0,OUT035
FDX22,1437.0,OUT010
NCF19,911.0,OUT035
NCE06,2514.0,OUT046
DRC27,3836.0,OUT046
FDE21,2021.0,OUT035
NCR42,-1372.0,OUT019
FDX51,2868.0,OUT018
NCR06,438.0,OUT018
FDU31,4945.0,OUT027
FDU59,2704.0,OUT017
FDR03,4775.0,OUT027
FDS49,2767.0,OUT027
FDD48,-83.0,OUT010
NCF18,3110.0,OUT017
NCD43,3107.0,OUT027
NCD54,2002.0,OUT018
FDY19,-41.0,OUT010
NCY54,2806.0,OUT017
NCL19,2033.0,OUT018
FDP23,1523.0,OUT010
FDC26,1815.0,OUT013
FDR14,-1045.0,OUT010
NCS41,3033.0,OUT035
FDF41,4039.0,OUT035
FDU34,1994.0,OUT046
DRH11,908.0,OUT046
FDM03,1763.0,OUT013
FDS31,3044.0,OUT017
FDJ20,2090.0,OUT017
FDV44,4499.0,OUT027
FDG02,3094.0,OUT049
FDA09,2907.0,OUT013
FDT04,691.0,OUT013
FDL58,2278.0,OUT019
FDE52,1451.0,OUT045
FDW12,2497.0,OUT035
FDL51,3546.0,OUT017
NCY42,3693.0,OUT027
FDR07,1658.0,OUT017
FDN40,2369.0,OUT045
FDB35,2957.0,OUT027
FDA22,2736.0,OUT017
NCL06,4102.0,OUT046
FDI35,2915.0,OUT013
NCW42,3411.0,OUT045
NCX06,2934.0,OUT049
FDC37,3203.0,OUT027
FDZ14,1732.0,OUT018
DRG49,3942.0,OUT049
NCG06,3959.0,OUT045
DRC36,2720.0,OUT045
FDV21,52.0,OUT019
FDB53,2350.0,OUT046
DRP47,2036.0,OUT019
FDA14,2351.0,OUT013
DRC24,2568.0,OUT035
FDW21,1418.0,OUT018
NCH29,1546.0,OUT046
FDU58,3071.0,OUT013
FDY27,2938.0,OUT017
FDV56,1945.0,OUT035
FDT59,3646.0,OUT046
FDB23,3614.0,OUT046
FDR49,695.0,OUT045
FDB03,1905.0,OUT010
FDN39,2617.0,OUT045
FDX02,4995.0,OUT027
FDQ16,3199.0,OUT027
FDU35,1348.0,OUT018
NCT29,1955.0,OUT013
FDZ27,818.0,OUT046
FDN57,2344.0,OUT017
FDA03,2109.0,OUT018
FDZ36,2913.0,OUT045
NCU05,1319.0,OUT013
FDT39,2184.0,OUT018
FDK60,1720.0,OUT017
FDZ25,2854.0,OUT017
FDG12,2022.0,OUT046
DRB01,1116.0,OUT019
NCC43,5385.0,OUT027
FDX13,2020.0,OUT019
FDM22,1026.0,OUT049
FDJ03,2313.0,OUT027
FDU14,3688.0,OUT018
FDB33,619.0,OUT010
FDP27,2994.0,OUT046
FDO38,-675.0,OUT010
FDE28,5159.0,OUT027
FDO27,1695.0,OUT035
DRL23,3178.0,OUT027
FDS28,950.0,OUT046
FDX24,1541.0,OUT013
FDZ02,1739.0,OUT035
FDL46,1813.0,OUT045
FDS60,4307.0,OUT027
NCO06,636.0,OUT017
FDO16,1521.0,OUT035
FDC60,1530.0,OUT049
FDA48,3208.0,OUT018
FDZ36,4457.0,OUT027
FDK27,1873.0,OUT045
FDW23,384.0,OUT018
FDM14,1518.0,OUT018
FDM14,1783.0,OUT013
FDW60,2606.0,OUT018
FDE21,1907.0,OUT013
NCM42,1875.0,OUT035
FDY59,-381.0,OUT010
DRI49,1378.0,OUT049
FDT28,498.0,OUT019
FDQ22,418.0,OUT018
FDR60,1330.0,OUT049
FDC50,-402.0,OUT019
FDV24,2453.0,OUT013
DRF48,1016.0,OUT010
FDQ47,626.0,OUT046
DRN36,1658.0,OUT049
NCY06,2171.0,OUT035
FDE52,1655.0,OUT035
NCB54,1933.0,OUT045
NCF31,2543.0,OUT035
FDJ08,4457.0,OUT027
NCC07,1786.0,OUT017
NCD19,2365.0,OUT027
FDL46,2010.0,OUT049
FDM20,3829.0,OUT045
NCI06,911.0,OUT010
DRM11,4214.0,OUT035
NCH07,2215.0,OUT018
FDS23,2077.0,OUT013
FDO49,606.0,OUT018
FDS35,1158.0,OUT049
DRK39,1274.0,OUT045
DRI39,1034.0,OUT049
FDV04,2632.0,OUT017
NCN14,3009.0,OUT035
FDH08,3681.0,OUT013
FDS20,2898.0,OUT046
FDV40,1354.0,OUT049
FDZ48,-145.0,OUT010
FDS24,2921.0,OUT027
FDK44,2858.0,OUT049
FDS48,2341.0,OUT045
FDK26,1093.0,OUT010
FDD23,2967.0,OUT045
NCH54,2632.0,OUT017
NCP14,-257.0,OUT010
FDM60,-1191.0,OUT010
FDV24,2516.0,OUT017
FDH08,3350.0,OUT018
