Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDW58,1651.68777595,OUT049
FDW14,1363.69388523,OUT017
NCN55,586.021464177,OUT010
FDQ58,2464.70091827,OUT017
FDY38,5979.77891491,OUT027
FDH56,1934.18505757,OUT046
FDL48,762.945123613,OUT018
FDC48,2009.65416341,OUT027
FDN33,1529.99182654,OUT045
FDA36,3092.7301366,OUT017
FDT44,1948.92976104,OUT017
FDQ56,1365.25131568,OUT045
NCC54,589.565238473,OUT019
FDU11,2024.78122752,OUT049
DRL59,840.783377908,OUT013
FDM24,2460.6644524,OUT049
FDI57,3047.54437431,OUT045
DRC12,2965.91971614,OUT018
NCM42,3010.65348586,OUT027
FDA46,503.397140302,OUT010
FDA31,2841.2682899,OUT013
NCJ31,3878.54687185,OUT035
FDG52,784.410779957,OUT046
NCL19,296.045156839,OUT019
FDS10,3016.83585135,OUT035
FDX22,549.276416582,OUT010
NCF19,763.914325984,OUT035
NCE06,2560.45468642,OUT046
DRC27,3888.84945816,OUT046
FDE21,1956.59641728,OUT035
NCR42,122.090458584,OUT019
FDX51,2983.78839628,OUT018
NCR06,613.596239823,OUT018
FDU31,5907.68773078,OUT027
FDU59,2554.51408163,OUT017
FDR03,5824.75219999,OUT027
FDS49,1942.0926501,OUT027
FDD48,261.598796182,OUT010
NCF18,3052.12163232,OUT017
NCD43,2619.48731145,OUT027
NCD54,2045.35769966,OUT018
FDY19,264.684948707,OUT010
NCY54,2854.30915474,OUT017
NCL19,2422.84521892,OUT018
FDP23,549.139803022,OUT010
FDC26,1740.1405757,OUT013
FDR14,137.710709717,OUT010
NCS41,3128.62339166,OUT035
FDF41,3904.49502733,OUT035
FDU34,2051.10453646,OUT046
DRH11,877.434123341,OUT046
FDM03,1649.26841328,OUT013
FDS31,3072.80676534,OUT017
FDJ20,2021.55445602,OUT017
FDV44,5215.23519865,OUT027
FDG02,3114.10744444,OUT049
FDA09,2981.02751896,OUT013
FDT04,662.234971312,OUT013
FDL58,582.191110902,OUT019
FDE52,1381.20012669,OUT045
FDW12,2498.67825378,OUT035
FDL51,3684.83948121,OUT017
NCY42,3305.20523677,OUT027
FDR07,1549.15998839,OUT017
FDN40,2458.1317906,OUT045
FDB35,2464.33770066,OUT027
FDA22,2546.23618179,OUT017
NCL06,4157.87806158,OUT046
FDI35,3064.58208377,OUT013
NCW42,3773.64445508,OUT045
NCX06,3018.27895621,OUT049
FDC37,2655.45560758,OUT027
FDZ14,1909.98897718,OUT018
DRG49,3882.99830669,OUT049
NCG06,4091.5708213,OUT045
DRC36,2854.66661002,OUT045
FDV21,289.399010557,OUT019
FDB53,2496.20101666,OUT046
DRP47,580.361415608,OUT019
FDA14,2459.53701982,OUT013
DRC24,2529.55533274,OUT035
FDW21,1613.70710919,OUT018
NCH29,1554.12697595,OUT046
FDU58,3098.47919095,OUT013
FDY27,2869.99773355,OUT017
FDV56,1661.3629304,OUT035
FDT59,3822.97459527,OUT046
FDB23,3786.451089,OUT046
FDR49,765.211418096,OUT045
FDB03,590.189334146,OUT010
FDN39,2611.52752881,OUT045
FDX02,5995.76866294,OUT027
FDQ16,2652.9524281,OUT027
FDU35,1545.37457635,OUT018
NCT29,2024.8209248,OUT013
FDZ27,784.352473095,OUT046
FDN57,2061.58203911,OUT017
FDA03,2415.24859302,OUT018
FDZ36,3095.58454555,OUT045
NCU05,1406.53394688,OUT013
FDT39,2388.61100554,OUT018
FDK60,1548.50543553,OUT017
FDZ25,2774.85573954,OUT017
FDG12,2073.38935802,OUT046
DRB01,493.405245829,OUT019
NCC43,6003.23317323,OUT027
FDX13,573.397251111,OUT019
FDM22,843.073948164,OUT049
FDJ03,1217.31940166,OUT027
FDU14,3699.75327101,OUT018
FDB33,377.296756978,OUT010
FDP27,3124.98007796,OUT046
FDO38,165.421501536,OUT010
FDE28,6003.23317323,OUT027
FDO27,1529.93888528,OUT035
DRL23,2644.12742351,OUT027
FDS28,875.835017232,OUT046
FDX24,1460.42566764,OUT013
FDZ02,1550.79941886,OUT035
FDL46,1922.59748252,OUT045
FDS60,4772.16822746,OUT027
NCO06,590.979814393,OUT017
FDO16,1362.32902279,OUT035
FDC60,1366.42208775,OUT049
FDA48,3382.95516284,OUT018
FDZ36,5210.91811846,OUT027
FDK27,2045.67466049,OUT045
FDW23,604.573800506,OUT018
FDM14,1676.5719483,OUT018
FDM14,1654.0635739,OUT013
FDW60,2807.08417917,OUT018
FDE21,1962.10041719,OUT013
