Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDW58,1563.52807693,OUT049
FDW14,1447.52098611,OUT017
NCN55,571.533663841,OUT010
FDQ58,2510.99273725,OUT017
FDY38,5842.99935953,OUT027
FDH56,1942.01755821,OUT046
FDL48,732.402979536,OUT018
FDC48,2071.51886663,OUT027
FDN33,1544.02788949,OUT045
FDA36,3061.49395559,OUT017
FDT44,1963.36994153,OUT017
FDQ56,1426.17422291,OUT045
NCC54,571.87342507,OUT019
FDU11,2022.38470091,OUT049
DRL59,830.554807431,OUT013
FDM24,2496.26995338,OUT049
FDI57,3106.32406806,OUT045
DRC12,3057.37998675,OUT018
NCM42,2919.80373752,OUT027
FDA46,514.958212101,OUT010
FDA31,2823.71881304,OUT013
NCJ31,3912.8801219,OUT035
FDG52,736.043135171,OUT046
NCL19,286.794669739,OUT019
FDS10,3009.72475104,OUT035
FDX22,562.767836517,OUT010
NCF19,733.54896383,OUT035
NCE06,2573.73502691,OUT046
DRC27,3916.86989414,OUT046
FDE21,1936.31974664,OUT035
NCR42,130.795396803,OUT019
FDX51,3059.4250289,OUT018
NCR06,669.776250308,OUT018
FDU31,5842.99935953,OUT027
FDU59,2579.47181003,OUT017
FDR03,5844.90812097,OUT027
FDS49,1967.67629894,OUT027
FDD48,265.502907903,OUT010
NCF18,3059.44891344,OUT017
NCD43,2866.3948782,OUT027
NCD54,2117.01867087,OUT018
FDY19,265.859207842,OUT010
NCY54,2823.71881304,OUT017
NCL19,2469.83612422,OUT018
FDP23,565.334754027,OUT010
FDC26,1679.87029958,OUT013
FDR14,130.795396803,OUT010
NCS41,3059.37311391,OUT035
FDF41,3928.63165105,OUT035
FDU34,2031.13311659,OUT046
DRH11,963.152153977,OUT046
FDM03,1563.52807693,OUT013
FDS31,3017.47555277,OUT017
FDJ20,2022.38470091,OUT017
FDV44,5134.60356217,OUT027
FDG02,3061.49395559,OUT049
FDA09,2960.22113759,OUT013
FDT04,721.287974224,OUT013
FDL58,569.564305909,OUT019
FDE52,1485.78632696,OUT045
FDW12,2470.65303956,OUT035
FDL51,3641.23512238,OUT017
NCY42,3002.38911808,OUT027
FDR07,1544.02788949,OUT017
FDN40,2508.18570431,OUT045
FDB35,2678.77141038,OUT027
FDA22,2584.11676175,OUT017
NCL06,4055.03368985,OUT046
FDI35,3017.47555277,OUT013
NCW42,3745.61957235,OUT045
NCX06,2962.77093517,OUT049
FDC37,2897.30331537,OUT027
FDZ14,2022.38470091,OUT018
DRG49,3900.15290418,OUT049
NCG06,4035.83971602,OUT045
DRC36,2825.12709359,OUT045
FDV21,279.188752593,OUT019
FDB53,2485.51661212,OUT046
DRP47,567.983634417,OUT019
FDA14,2479.6995037,OUT013
DRC24,2509.59398486,OUT035
FDW21,1554.18331283,OUT018
NCH29,1544.02788949,OUT046
FDU58,3061.49395559,OUT013
FDY27,2858.20830385,OUT017
FDV56,1570.28741429,OUT035
FDT59,3832.08574454,OUT046
FDB23,3788.71308404,OUT046
FDR49,733.696228502,OUT045
FDB03,572.306564792,OUT010
FDN39,2583.48000015,OUT045
FDX02,5842.99935953,OUT027
FDQ16,2897.30331537,OUT027
FDU35,1549.052469,OUT018
NCT29,2022.38470091,OUT013
FDZ27,736.043135171,OUT046
FDN57,2033.23316847,OUT017
FDA03,2477.47430781,OUT018
FDZ36,3061.49395559,OUT045
NCU05,1462.39166792,OUT013
FDT39,2491.2896871,OUT018
FDK60,1544.02788949,OUT017
FDZ25,2725.03845915,OUT017
FDG12,2022.38470091,OUT046
DRB01,507.197272225,OUT019
NCC43,5842.99935953,OUT027
FDX13,564.901614305,OUT019
FDM22,864.586725015,OUT049
FDJ03,1002.98284485,OUT027
FDU14,3816.16146234,OUT018
FDB33,381.718184853,OUT010
FDP27,3061.49395559,OUT046
FDO38,158.451313436,OUT010
FDE28,5842.99935953,OUT027
FDO27,1544.02788949,OUT035
DRL23,2892.68135965,OUT027
FDS28,963.152153977,OUT046
FDX24,1542.24623535,OUT013
FDZ02,1544.02788949,OUT035
FDL46,1942.01755821,OUT045
FDS60,4719.42469878,OUT027
NCO06,662.851564497,OUT017
FDO16,1423.56531332,OUT035
FDC60,1449.20778821,OUT049
FDA48,3514.576787,OUT018
FDZ36,5128.48503252,OUT027
FDK27,2019.68821338,OUT045
FDW23,668.06997971,OUT018
FDM14,1651.04681423,OUT018
FDM14,1565.87754614,OUT013
FDW60,2853.91418128,OUT018
FDE21,1936.31974664,OUT013
NCM42,1570.28741429,OUT035
FDY59,226.446212394,OUT010
DRI49,1331.95349435,OUT049
FDT28,366.96432708,OUT019
FDQ22,669.014054983,OUT018
FDR60,1253.29303903,OUT049
FDC50,233.992042626,OUT019
FDV24,2496.26995338,OUT013
DRF48,497.003043988,OUT010
FDQ47,668.077116627,OUT046
DRN36,1544.02788949,OUT049
NCY06,2031.13311659,OUT035
FDE52,1484.01937876,OUT035
NCB54,2031.13311659,OUT045
NCF31,2508.18570431,OUT035
FDJ08,5141.6819808,OUT027
NCC07,1563.52807693,OUT017
NCD19,1204.67118622,OUT027
FDL46,1979.72271229,OUT049
FDM20,3947.82303058,OUT045
NCI06,450.827350938,OUT010
DRM11,4064.85829689,OUT035
NCH07,2552.30275443,OUT018
FDS23,2033.23316847,OUT013
FDO49,732.402979536,OUT018
FDS35,1088.35270557,OUT049
DRK39,1380.29334135,OUT045
DRI39,929.55465995,OUT049
FDV04,2553.11966977,OUT017
NCN14,3057.32807176,OUT035
FDH08,3820.10868469,OUT013
FDS20,3059.37311391,OUT046
FDV40,1140.42450162,OUT049
